query_id,query,order,threshold,file_id,table_id,id
10,FL AND decentralised,121,0.5,2406.15319,A1.T9.1,2406.15319_A1.T9.1
10,FL AND decentralised,122,0.5,2409.17874,S4.T3.2.2,2409.17874_S4.T3.2.2
10,FL AND decentralised,123,0.5,2405.13018,Sx4.T2,2405.13018_Sx4.T2
10,FL AND decentralised,124,0.5,2301.10799v2,S3.T1,2301.10799v2_S3.T1
10,FL AND decentralised,125,0.5,2301.10799v2,A2.T4,2301.10799v2_A2.T4
10,FL AND decentralised,126,0.5,2406.15319,A1.T7.1,2406.15319_A1.T7.1
10,FL AND decentralised,127,0.5,1609.05600v2,S5.T2,1609.05600v2_S5.T2
10,FL AND decentralised,128,0.5,2211.15217,A1.T8,2211.15217_A1.T8
10,FL AND decentralised,129,0.5,2406.15319,S3.T3.1.1,2406.15319_S3.T3.1.1
10,FL AND decentralised,130,0.5,2211.15217,A1.T9,2211.15217_A1.T9
10,FL AND decentralised,131,0.5,2211.15217,A1.T7,2211.15217_A1.T7
10,FL AND decentralised,132,0.5,2407.05154,S4.T7.11,2407.05154_S4.T7.11
10,FL AND decentralised,133,0.5,2208.07900,A5.T6.18,2208.07900_A5.T6.18
10,FL AND decentralised,134,0.5,2407.05154,S4.T10.19.19,2407.05154_S4.T10.19.19
10,FL AND decentralised,135,0.5,2409.08498v1,A2.T14,2409.08498v1_A2.T14
10,FL AND decentralised,136,0.5,2303.05977v2,S5.T4,2303.05977v2_S5.T4
10,FL AND decentralised,137,0.5,2409.08933v1,S5.T6,2409.08933v1_S5.T6
10,FL AND decentralised,138,0.5,2409.08933v1,S5.T4,2409.08933v1_S5.T4
10,FL AND decentralised,139,0.5,2305.00873,S6.T3,2305.00873_S6.T3
10,FL AND decentralised,140,0.5,2303.05977v2,S5.T3,2303.05977v2_S5.T3
10,FL AND decentralised,141,0.5,2407.05154,S3.T2.2.2,2407.05154_S3.T2.2.2
10,FL AND decentralised,142,0.5,2405.13018,Sx5.T5,2405.13018_Sx5.T5
10,FL AND decentralised,143,0.5,2303.05977v2,S4.T1,2303.05977v2_S4.T1
10,FL AND decentralised,144,0.5,2208.07900,A7.T9.4,2208.07900_A7.T9.4
10,FL AND decentralised,145,0.5,2408.01931v2,S5.T7,2408.01931v2_S5.T7
10,FL AND decentralised,146,0.5,2407.05154,S4.T11.3.3,2407.05154_S4.T11.3.3
10,FL AND decentralised,147,0.5,2406.06679,Pt0.A1.T5,2406.06679_Pt0.A1.T5
10,FL AND decentralised,148,0.5,2410.10089v1,S4.T2,2410.10089v1_S4.T2
10,FL AND decentralised,149,0.5,2208.07900,S3.E8,2208.07900_S3.E8
10,FL AND decentralised,150,0.5,2406.15319,S3.T4.1,2406.15319_S3.T4.1
10,FL AND decentralised,151,0.5,2410.10089v1,S4.T3,2410.10089v1_S4.T3
10,FL AND decentralised,152,0.5,2211.15217,S6.T5,2211.15217_S6.T5
10,FL AND decentralised,153,0.5,2410.10089v1,S4.T6,2410.10089v1_S4.T6
10,FL AND decentralised,154,0.5,2410.10089v1,S4.T4,2410.10089v1_S4.T4
10,FL AND decentralised,155,0.5,2208.07900,A5.T5.4,2208.07900_A5.T5.4
10,FL AND decentralised,156,0.5,2406.06679,Pt0.A2.T6,2406.06679_Pt0.A2.T6
10,FL AND decentralised,157,0.5,2211.15217,S6.T1,2211.15217_S6.T1
10,FL AND decentralised,158,0.5,2410.10089v1,S4.T5,2410.10089v1_S4.T5
10,FL AND decentralised,159,0.5,2409.08933v1,S2.T1,2409.08933v1_S2.T1
10,FL AND decentralised,160,0.5,2303.12317,A4.T7,2303.12317_A4.T7
1,(Graph structured) AND (visual Question Answering),0,0.6000000000000001,1609.05600v2,S5.T1,1609.05600v2_S5.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",0,0.6000000000000001,2211.15217,S6.T4,2211.15217_S6.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",1,0.6000000000000001,2404.18961v1,S2.T3,2404.18961v1_S2.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",2,0.6000000000000001,2303.12317,A6.T9,2303.12317_A6.T9
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",3,0.6000000000000001,2404.18961v1,S1.T1,2404.18961v1_S1.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",4,0.6000000000000001,2211.15217,A1.T10,2211.15217_A1.T10
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",5,0.6000000000000001,2211.15217,A1.T11,2211.15217_A1.T11
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",6,0.6000000000000001,2406.06679,S4.T2,2406.06679_S4.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",7,0.6000000000000001,2304.00570,S4.T2,2304.00570_S4.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",8,0.6000000000000001,2208.07900,S3.E4,2208.07900_S3.E4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",9,0.6000000000000001,2304.00570,S3.T1,2304.00570_S3.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",10,0.6000000000000001,2406.06679,S4.T4,2406.06679_S4.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",11,0.6000000000000001,2211.15217,S6.T6,2211.15217_S6.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",12,0.6000000000000001,2409.17874,S4.T3.2.2,2409.17874_S4.T3.2.2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",13,0.6000000000000001,2211.15217,A1.T7,2211.15217_A1.T7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",14,0.6000000000000001,2211.15217,A1.T9,2211.15217_A1.T9
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",15,0.6000000000000001,2407.05154,S3.T4.1.1,2407.05154_S3.T4.1.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",16,0.6000000000000001,2211.15217,A1.T8,2211.15217_A1.T8
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",17,0.6000000000000001,2404.18961v1,S2.SS1.89,2404.18961v1_S2.SS1.89
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",18,0.6000000000000001,2410.13042v1,S2.T1,2410.13042v1_S2.T1
